Time,Residual_0,Residual_1,Residual_2,Residual_3,cl,cd,cm,
1.3057121119999999e+00,7.3331373558460763e-04,4.8575502630236397e-04,3.9127929369223001e-04,2.3697595639990236e-03,3.5262240630275365e-01,9.0058668737132783e-03,-6.4706573666578032e-02,
1.3217119870000000e+00,7.1957452647462990e-04,4.6696077267487134e-04,3.8051380210559003e-04,2.3235888297260215e-03,3.5221797584013764e-01,1.0843277744848622e-02,-6.4028407952761143e-02,
1.3378632589999999e+00,7.0213211305201464e-04,4.4986291177294294e-04,3.7310288187083449e-04,2.2628761488121276e-03,3.5224167670594297e-01,1.2111147033868366e-02,-6.3183127792434110e-02,
1.3537895110000000e+00,6.8063285812227118e-04,4.3492930453866839e-04,3.7142364813217088e-04,2.1861982688280131e-03,3.5270788293261146e-01,1.2730510467681823e-02,-6.2123227269656571e-02,
1.3698408360000001e+00,6.5613039244672084e-04,4.2257750467488976e-04,3.7512168876658393e-04,2.0977880382167758e-03,3.5351362951922333e-01,1.2665195733236701e-02,-6.0865031845556757e-02,
1.3862550659999999e+00,6.3136613180880645e-04,4.1314828076100148e-04,3.8126045297706625e-04,2.0089083559507660e-03,3.5447028712778195e-01,1.1948792469578778e-02,-5.9484599658241454e-02,
1.4029780030000001e+00,6.1131257975697542e-04,4.0562726903656688e-04,3.8456742680843478e-04,1.9401267832260265e-03,3.5535844142157164e-01,1.0681855561296255e-02,-5.8099076409568108e-02,
1.4194643300000001e+00,5.9917918287790838e-04,3.9890143906045369e-04,3.8072826519997813e-04,1.9045365867423145e-03,3.5598229635771794e-01,9.0147623471935386e-03,-5.6838230247390008e-02,
1.4358531600000000e+00,5.9262355638560417e-04,3.9276944937333656e-04,3.7002038683744113e-04,1.8915945085950119e-03,3.5621437246724286e-01,7.1383018271982653e-03,-5.5815682018237452e-02,
1.4522812860000001e+00,5.8619522924129150e-04,3.8660187989915683e-04,3.5664958721769548e-04,1.8777299897038927e-03,3.5602185663140246e-01,5.2703479102373663e-03,-5.5105582907538447e-02,
1.4683489150000000e+00,5.7539001124129268e-04,3.7930653858377344e-04,3.4534900506359142e-04,1.8439524019149690e-03,3.5546515469373324e-01,3.6237443750816510e-03,-5.4728221974633062e-02,
1.4846040080000000e+00,5.5845435110618265e-04,3.7084818084685671e-04,3.3852578034008725e-04,1.7834188931739382e-03,3.5467046933153135e-01,2.3689044120315987e-03,-5.4648278173509438e-02,
1.5007476930000001e+00,5.3771699236938603e-04,3.6195817157509133e-04,3.3466699068620669e-04,1.7065385870172827e-03,3.5378903917213528e-01,1.6133337515331753e-03,-5.4787018455056694e-02,
1.5171051820000001e+00,5.1898264745557079e-04,3.5297539232470294e-04,3.2955558558255606e-04,1.6383298367599541e-03,3.5295336692193735e-01,1.3974364600528825e-03,-5.5043367445740621e-02,
1.5335728090000000e+00,5.0698686090128598e-04,3.4407910908600711e-04,3.2055748166339885e-04,1.5993165554985503e-03,3.5224534811205455e-01,1.6943279962047155e-03,-5.5317911788865998e-02,
1.5510865540000001e+00,5.0146268509179692e-04,3.3546532471595526e-04,3.0948046826952190e-04,1.5882823600117289e-03,3.5168385539182589e-01,2.4130864146342493e-03,-5.5534814102328876e-02,
1.5680090440000001e+00,4.9823022554391818e-04,3.2679123515025392e-04,3.0088993346650433e-04,1.5868927261693565e-03,3.5123230470075972e-01,3.4133758755548172e-03,-5.5657099269030993e-02,
1.5843408269999999e+00,4.9244416627540011e-04,3.1782481458452182e-04,2.9802860295743538e-04,1.5742988100895213e-03,3.5082172070287554e-01,4.5301960522646659e-03,-5.5691244822215727e-02,
1.6003089520000000e+00,4.8104655124057505e-04,3.0950848885932732e-04,3.0013669650376639e-04,1.5377136759007922e-03,3.5038469501030228e-01,5.5990012401224533e-03,-5.5680600286851012e-02,
1.6168434020000000e+00,4.6449738272414656e-04,3.0325415680991367e-04,3.0279999186091591e-04,1.4791750571587468e-03,3.4989225727096029e-01,6.4760982216689527e-03,-5.5689819070781021e-02,
1.6333147210000001e+00,4.4659676030408597e-04,2.9957821493068664e-04,3.0079950639203912e-04,1.4145739635189989e-03,3.4937973315401211e-01,7.0566050114911159e-03,-5.5784794108654306e-02,
1.6494585980000001e+00,4.3166385657791861e-04,2.9794761204145431e-04,2.9136865858624150e-04,1.3620812915175096e-03,3.4895263290969969e-01,7.2892237173481852e-03,-5.6013591463601096e-02,
1.6656818959999999e+00,4.2175406004139323e-04,2.9716283781894466e-04,2.7548838444721907e-04,1.3303384868429888e-03,3.4877103194792497e-01,7.1815983320192662e-03,-5.6394033547747330e-02,
1.6825454000000000e+00,4.1622735802639924e-04,2.9570632262332326e-04,2.5675804342874752e-04,1.3163710647757672e-03,3.4901633346684935e-01,6.7924974484326233e-03,-5.6910778745100268e-02,
1.6986327690000000e+00,4.1281797155643611e-04,2.9246449757308596e-04,2.3942113644851164e-04,1.3103440381071845e-03,3.4984725960661106e-01,6.2146629597246089e-03,-5.7521922224042989e-02,
1.7151100900000000e+00,4.0908379783472718e-04,2.8717614531039337e-04,2.2678202409766738e-04,1.3020463475380069e-03,3.5135731908711215e-01,5.5542710468724985e-03,-5.8172304097289837e-02,
1.7316908990000000e+00,4.0375621768617336e-04,2.8008476342553952e-04,2.2015359443129293e-04,1.2864876466056818e-03,3.5354939656268558e-01,4.9113695664411731e-03,-5.8809798670875893e-02,
1.7481104949999999e+00,3.9695527520990163e-04,2.7168952098132008e-04,2.1863940269452160e-04,1.2645017203492194e-03,3.5633332219156660e-01,4.3644028078946833e-03,-5.9399862876219928e-02,
1.7646908219999999e+00,3.8931182904181896e-04,2.6304304989646583e-04,2.1997612592650705e-04,1.2389820230905018e-03,3.5954480503628988e-01,3.9621653625817070e-03,-5.9934096260270277e-02,
1.7806732670000001e+00,3.8148503778047730e-04,2.5579961755362734e-04,2.2141458934104601e-04,1.2128869231256981e-03,3.6297946359212369e-01,3.7247040760420972e-03,-6.0431110886282065e-02,
1.7967281879999999e+00,3.7436070029165888e-04,2.5156804556887959e-04,2.2029071652912135e-04,1.1900896816307452e-03,3.6643428543746764e-01,3.6505954415621878e-03,-6.0930038125928107e-02,
1.8126602000000001e+00,3.6889245361220097e-04,2.5108079369359673e-04,2.1492143123415445e-04,1.1746763720816135e-03,3.6974640726867536e-01,3.7264171032875860e-03,-6.1478647340368904e-02,
1.8287214009999999e+00,3.6544746153516753e-04,2.5371178294735853e-04,2.0563143071940552e-04,1.1681168634485144e-03,3.7282089737330976e-01,3.9352252315969453e-03,-6.2118831920382471e-02,
1.8451298650000001e+00,3.6348980041424290e-04,2.5769090445962014e-04,1.9492953671999149e-04,1.1678755252998920e-03,3.7564377897521045e-01,4.2627036679447217e-03,-6.2873232372101004e-02,
1.8617510460000000e+00,3.6184276658724537e-04,2.6104844938411103e-04,1.8647652721565447e-04,1.1686276356278438e-03,3.7827898121073461e-01,4.6999690292452894e-03,-6.3736337448630387e-02,
1.8781555200000000e+00,3.5926906091500731e-04,2.6263942406906215e-04,1.8331772985333457e-04,1.1649238415236444e-03,3.8084936681478354e-01,5.2422292544810093e-03,-6.4672274761123361e-02,
1.8948001470000000e+00,3.5518768331942971e-04,2.6243630390832034e-04,1.8635381432316231e-04,1.1543036412490645e-03,3.8350711172914015e-01,5.8834689833858964e-03,-6.5619807496161087e-02,
1.9114676669999999e+00,3.5013560350886192e-04,2.6101210408947643e-04,1.9423488199569393e-04,1.1391334230400419e-03,3.8639949383367972e-01,6.6087655413125035e-03,-6.6503428111625726e-02,
1.9275166379999999e+00,3.4548914451102699e-04,2.5878826818311350e-04,2.0461756751338002e-04,1.1252868997523905e-03,3.8963636317216482e-01,7.3864512792759986e-03,-6.7248069808588135e-02,
1.9436080290000000e+00,3.4255162842268609e-04,2.5569654166091786e-04,2.1525820957010250e-04,1.1181900806441470e-03,3.9326627501280409e-01,8.1625048611918515e-03,-6.7794304886789281e-02,
