face, ghostCell, u_BI, v_BI, cx, cy, u_mirror, v_mirror, x_mirror, y_mirror
194744, 97484, 0.584735, 0.0633953, 0.765492, -0.0295414, 0.584734, 0.0633987, 0.765985, -0.0340827
194746, 97485, 0.584571, 0.0641384, 0.77538, -0.0284623, 0.584571, 0.0641409, 0.77576, -0.0319246
194748, 97486, 0.584352, 0.0651156, 0.785264, -0.0273698, 0.584352, 0.0651174, 0.785528, -0.0297396
194750, 97487, 0.584188, 0.0658389, 0.795142, -0.0262638, 0.584188, 0.0658398, 0.795285, -0.0275276
194752, 97488, 0.584024, 0.0665544, 0.805016, -0.0251446, 0.584024, 0.0665545, 0.805033, -0.0252892
195482, 97410, 0.480718, -0.230883, 0.0245525, -0.0259318, 0.480716, -0.230885, 0.0241049, -0.0268637
195483, 97853, 0.386262, -0.281633, 0.0122562, -0.0187631, 0.386253, -0.281646, 0.00951245, -0.0225262
195640, 97488, 0.584024, 0.0665544, 0.805016, -0.0251446, 0.584024, 0.0665545, 0.805033, -0.0252892
195643, 97933, 0.583804, 0.0674966, 0.816027, -0.0238801, 0.583804, 0.0675035, 0.817053, -0.0327601
195645, 97934, 0.583585, 0.0684259, 0.825906, -0.0227307, 0.583584, 0.068432, 0.826813, -0.0304613
195647, 97935, 0.58342, 0.0691146, 0.835778, -0.0215679, 0.58342, 0.0691199, 0.836556, -0.0281357
195649, 97936, 0.583201, 0.0700219, 0.845647, -0.0203913, 0.5832, 0.0700263, 0.846295, -0.0257826
195651, 97937, 0.583036, 0.0706942, 0.855509, -0.0192012, 0.583036, 0.0706976, 0.856019, -0.0234025
195653, 97938, 0.582817, 0.0715794, 0.865368, -0.0179971, 0.582817, 0.0715818, 0.865736, -0.0209941
195655, 97939, 0.582598, 0.0724514, 0.875221, -0.0167791, 0.582598, 0.0724529, 0.875442, -0.0185581
195657, 97940, 0.58238, 0.0733099, 0.885069, -0.015547, 0.58238, 0.0733104, 0.885138, -0.016094
196369, 97853, 0.386262, -0.281633, 0.0122562, -0.0187631, 0.386253, -0.281646, 0.00951245, -0.0225262
